Feature,Importance
Price_Change,0.8297637431713382
ROC_5,0.08598750879099508
Price_Acceleration,0.018683860182587234
Rolling_Vol_20,0.01196372090775966
Volatility_15,0.0056140417466069336
ATR_14,0.003719193456476143
High_Vol_Regime_20,0.003265825666801097
Current_Price_Zscore,0.0025635788969282217
Treasury_Rate_MA_15,0.0023688398103534247
Volatility_5,0.00224977180296865
BB_Lower,0.0011562840889505226
Treasury_Rate_Volatility,0.001064359821154735
BB_Upper,0.0010635672239909019
News_Sentiment_Volatility,0.0009974544924516743
Rolling_Vol_60,0.0008469086993789799
Treasury_Rate_Zscore,0.0007663773737279373
MA_7,0.000758951368883956
DayOfYear_Cos,0.0007414435768782589
News_Sentiment_Zscore,0.0007137299409298295
Price_Lag_3,0.0006821136509610433
Semiconductor_Index,0.0006530402305936955
News_Sentiment_ROC_5,0.0006069595284133634
DayOfYear,0.0005826229493453972
Price_Lag_1,0.000551627150800313
BB_Middle,0.0005405216988021037
MACD_Histogram,0.0005353162434244008
DayOfYear_Sin,0.000532593593142097
Treasury_Rate_MA_Distance,0.0005154940881446378
Price_ROC_50,0.000513561307585136
BB_Std,0.0005004614424832972
Price_Lag_7,0.0004903476288827765
BB_PercentB,0.0004872831510113509
Baltic_Price_Volatility,0.00048660088114018285
Tech_PCA_3,0.00047894421592544834
Momentum_50,0.00046360208248638797
MACD_Signal,0.0004569104685484354
News_Sentiment_MA_5,0.0004192820647257871
Momentum_10,0.0004186687661624364
News_Sentiment_MA_15,0.00040345719978226936
Baltic_Price_MA_15,0.0004029369199937922
Low,0.00040085126581596817
News_Sentiment_MA_Distance,0.00039827086227236434
Treasury_Rate_Lag_7,0.0003865422945229765
Treasury_News_Interaction,0.00036986613831986777
ADX_Approx,0.000356493703493412
High,0.00034522064858657543
Treasury_Rate_News_Sentiment_Interaction,0.00034084554472093475
GPR_MA_Distance,0.00032210729079311785
Treasury_Rate_ROC_5,0.00031948584462205366
MA_30,0.00031496671325515233
Week,0.0002996072329957423
MACD,0.0002966094060998959
Month,0.0002921291940554374
Tech_PCA_2,0.0002918065038984881
News_Sentiment_WMA_Lag,0.00028866201741105884
Baltic_Price_ROC_5,0.00028843965403103325
GPR_MA_15,0.00028106987456343366
Current_Price_MA_Distance,0.00028017280284711965
Baltic_Price_MA_Distance,0.00027503795580115014
GPR_Zscore,0.0002737122436759593
News_Sentiment_Lag_Change,0.00027352863392050836
Momentum_20,0.0002721969039538361
RSI_14_Zscore,0.0002714441824310404
Day,0.0002635936895438058
News_Sentiment_Lag_7,0.00025707211564158665
News_Sentiment_Change,0.0002534531772136566
News_GPR_Interaction,0.00024700952344303904
Baltic_Price_Lag_7,0.0002350694378019364
Baltic_Price_Lag_3,0.0002328989419051465
Tech_PCA_1,0.00022897363521806713
CMF_20,0.00021879157300888443
Baltic_Price_Zscore,0.00020433656218720903
Baltic_Price_MA_5,0.00019943296460629543
BB_Width,0.00019883090240966703
GPR_Treasury_Rate_Interaction,0.00019258956357942335
GPR_News_Sentiment_Interaction,0.00018449482958980145
Baltic_Price_News_Sentiment_Interaction,0.00018161768229172146
ROC_12,0.0001781737685259288
Price_ROC_10,0.00017669006722063928
Price_ROC_20,0.0001699172404747836
News_Sentiment,0.0001665359661402635
Treasury_Rate_Change,0.0001641852271038173
News_Sentiment_Lag_3,0.00016378284920865935
Treasury_Rate_Lag_3,0.00016134777004869562
News_Sentiment_Squared,0.00015336873248836028
Baltic_Price_Change,0.00014691706997289962
Baltic_Price_Treasury_Rate_Interaction,0.00014419813436269141
Baltic_Price_Lag_1,0.00012514301131797404
News_Sentiment_Lag_1,0.00012449488760200178
RSI_21,0.00011489351481409347
Treasury_Rate_MA_5,0.0001117564499278388
News_Sentiment_Log,0.00011108212370044226
GPR_Volatility,0.00011078265349756087
Baltic_Price_GPR_Interaction,0.00010218390571398316
RSI_14_MA_Distance,0.0001012235141512676
Baltic_Price,9.860705792507477e-05
Treasury_Rate_Lag_1,9.659531692690447e-05
Treasury_Rate_Cross_Signal,9.119011084423738e-05
Baltic_Price_Log,9.064852259852509e-05
GPR_Lag_3,8.878078786779328e-05
Baltic_GPR_Interaction,8.622285689802177e-05
Quarter,8.410850389581874e-05
Stochastic_K,7.70488982888217e-05
Baltic_Price_Squared,7.625025867400161e-05
Month_Sin,7.456379202797971e-05
DayOfWeek_Sin,7.436776544602066e-05
Treasury_Rate_Log,7.223276555424235e-05
Treasury_Rate,7.117833697416782e-05
Treasury_Rate_Squared,6.314879965426542e-05
DayOfWeek,5.9531815582183017e-05
Month_Cos,5.784681539183944e-05
RSI_14,5.368252175041599e-05
GPR_ROC_5,5.191832473290263e-05
DayOfWeek_Cos,4.817377603442808e-05
Day_Of_Week,4.560876990071477e-05
GPR_Extreme_Move,4.458379409027852e-05
GPR_Lag_7,4.39994422028419e-05
Treasury_Rate_Extreme_Move,4.056753885356205e-05
GPR_MA_5,3.5282422473079536e-05
GPR_WMA_Lag,3.3791862478847424e-05
GPR_Lag_1,3.335976031141669e-05
Baltic_Price_Cross_Signal,3.163964758516565e-05
GPR,2.807179597473253e-05
GPR_Squared,2.7561926357799493e-05
RSI_7,2.586357576337032e-05
Year,2.4120466369775863e-05
News_Sentiment_Extreme_Move,2.3049587073063125e-05
Stochastic_D,2.2749466483714726e-05
Baltic_Price_Extreme_Move,2.1736900840563206e-05
News_Sentiment_Cross_Signal,2.1203274881989597e-05
GPR_Lag_Change,1.7945798045706133e-05
Bull_Market_Indicator,1.775622131384736e-05
GPR_Cross_Signal,1.7442879063376694e-05
Is_First_Half_Month,1.616547671288249e-05
Market_Regime,1.4192392454186339e-05
Is_Monday,1.3670413314265665e-05
GPR_Log,1.3503530179710377e-05
Williams_R,1.2825935194766272e-05
SMA_Crossover,1.2774221559067215e-05
Is_Friday,1.0949002999219774e-05
Current_Price_Anomaly,9.792249424477055e-06
High_Vol_Regime_60,6.507763659930646e-06
News_Sentiment_Anomaly,6.035052766965231e-06
Regime_1,5.112457675326371e-06
RSI_14_Extreme_Move,3.629726260567262e-06
Treasury_Rate_Anomaly,3.520551479635928e-06
Momentum_Regime,3.292670372447951e-06
Current_Price_Extreme_Move,2.884959512185395e-06
Regime_0,2.516076117881539e-06
GPR_Anomaly,2.418058845016779e-06
RSI_14_Anomaly,2.3867459606552704e-06
Is_Month_End,2.140412609319608e-06
GPR_Change,2.0829156808790878e-06
Regime_2,1.764806606570565e-06
Baltic_Price_Anomaly,1.6292672968426794e-06
SMA_Crossover_Change,1.2506319750382122e-06
Is_Quarter_End,1.0917104274945612e-06
Is_Year_End,1.6135468160108225e-08
